id_firma,sursa,firma,judet,localitate,persoana,email1,email2,telefon1,telefon2,cui,adresa,nume_norm,surse,nr_duplicate
352,ADRESE_2000,OPEN MIND LABORATORY,BUCURESTI,Sector 2,Ioana Piscureanu,,,,,,"STR. ARHITECT D. HARJEU, NR. 54",OPEN MIND LABORATORY,ADRESE_2000,1
353,ADRESE_2000,OPTIM PM,BUCURESTI,Sector 1,,,,,,,"STR. EMANOIL PORUMBARU NR. 25 A, ETAJ 3",OPTIM PM,ADRESE_2000,1
354,ADRESE_2000,OPTIM PROJECT MANAGEMENT,BUCURESTI,Sector 1,,,,,,,"STR. EMANOIL PORUMBOIU, NR. 25A, ET. 3",OPTIM PROJECT MANAGEMENT,ADRESE_2000,1
355,ADRESE_2000,OPTIMUM MEDIA DIRECTION PLAN & BUY,BUCURESTI,Sector 1,Liana Luiza Mihai,,,,,,"STR. PICTOR G.D. MIREA, NR. 6, ET. P",OPTIMUM MEDIA DIRECTION PLAN BUY,ADRESE_2000,1
356,ADRESE_2000,ORACLE ROMANIA SRL,BUCURESTI,Sector 2,Allison Simon,,,,,,"SOS. PIPERA, NR. 43, ET. P-6",ORACLE ROMANIA,ADRESE_2000,1
357,ADRESE_2000,ORBICO BEAUTY SRL,BUCURESTI,Sector 5,Zybaczynski Dan,,,,,,"SOS. VIILOR, NR. 14, CORP CLADIRE C2/C3",ORBICO BEAUTY,ADRESE_2000,1
358,ADRESE_2000,ORGANIZATIA ECOTIC,BUCURESTI,Sector 4,Valentin Negoita,,,,,,"SPLAIUL UNIRII, NR. 86, ET. 4",ORGANIZATIA ECOTIC,ADRESE_2000,1
359,ADRESE_2000,ORTOPEDICA SRL,BUCURESTI,Sector 2,Cristina Iancu,,,,,,"STR. IANCU CAPITANU, NR. 5",ORTOPEDICA,ADRESE_2000,1
360,ADRESE_2000,OTHO ESTATE,BUCURESTI,Sector 1,Alexandru Ispir,,,,,,"B-DUL NICOLAE TITULESCU, NR 1, ETAJ 6, CLADIRE A7, CORP 2",OTHO ESTATE,ADRESE_2000,1
361,ADRESE_2000,OTP BANK ROMANIA SA,BUCURESTI,Sector 1,Mara Cristea,,,,,,"STR. BUZESTI, NR. 66-68",OTP BANK ROMANIA,ADRESE_2000,1
362,ADRESE_2000,OXIGEN AGRO PRODUCT COMPANY SRL,BUCURESTI,Sector 3,Vochin Ionut Constantin,,,,,,"STR. POPA SOARE, NR. 14 A, ET. 1, AP. 3",OXIGEN AGRO PRODUCT COMPANY,ADRESE_2000,1
363,ADRESE_2000,OXYGEN,BUCURESTI,Sector 2,Andreea Filip,,,,,,"STR DIMITRIE POMPEIU, NR. 4-6, ET. 6, CAMPUS A",OXYGEN,ADRESE_2000,1
364,ADRESE_2000,OXYGEN PUBLIC RELATIONS SRL,BUCURESTI,Sector 1,Tranakas Tereza,,,,,,"STR. GEORGE CONSTANTINESCU, NR. 2-4, ETAJ 6",OXYGEN PUBLIC RELATIONS,ADRESE_2000,1
365,ADRESE_2000,P. DUSSMANN SERV ROMANIA SRL,BUCURESTI,Sector 1,,,,,,,"STR. STEFAN SANATESCU, NR. 53",P DUSSMANN SERV ROMANIA,ADRESE_2000,1
366,grecia,P.A.R. POLYMERS SRL,BUCURESTI,Sectorul 6,Pokas Theodoros,,,,,20285600,"SOS. VIRTUTII, NR. 19B",P A R POLYMERS,grecia,1
367,ADRESE_2000,P.R.B ASIGURARE SI REASIGURARE,BUCURESTI,Sector 1,Cristian Balanica,,,,,,"STR. CADEREA BASTILIEI, NR. 62, AP. 2",P R B ASIGURARE SI REASIGURARE,ADRESE_2000,1
368,ADRESE_2000,PALMED,BUCURESTI,Sector 1,,,,,,,"STR. RUCAR, NR. 36",PALMED,ADRESE_2000,1
369,ADRESE_2000,PANDORA JEWELRY ROMANIA SRL,BUCURESTI,Sector 4,Peter Ring,,,,,,"B-DUL MARASESTI, NR. 2 B, BL. C, SC. 4, AP. 39, COMP. REZ. CAROL",PANDORA JEWELRY ROMANIA,ADRESE_2000,1
370,ADRESE_2000,PAPAYA ADVERTISING SRL,BUCURESTI,Sector 2,Robert Lucian Tiderle,,,,,,"STR. SPERANTEI, NR. 32",PAPAYA ADVERTISING,ADRESE_2000,1
371,ADRESE_2000,PARCUL INDUSTRIAL FAUR,BUCURESTI,Sector 3,Alexandru Cristescu,,,,,,"B-DUL BASARABIA, NR. 256",PARCUL INDUSTRIAL FAUR,ADRESE_2000,1
372,ADRESE_2000,PARFUMERIE DOUGLAS SRL,BUCURESTI,Sector 1,Lavinia Ivas,,,,,,"STR. POLONA, NR. 68-72, ET. 5, RECEPTIE 2, BUSINESS CENTER",PARFUMERIE DOUGLAS,ADRESE_2000,1
373,ADRESE_2000,PASION SERVICE SRL,BUCURESTI,Sector 5,,,,,,,"CALEA RAHOVEI, NR. 266-268, CORP 63,, ELECTROMAGNETICA BUSINESS PARK, ET. 6, CAM10",PASION SERVICE,ADRESE_2000,1
374,ADRESE_2000,PATRONATUL ROMAN,BUCURESTI,Sector 2,,,,,,,"STR LUIGI GALVANI, NR 17-19",PATRONATUL ROMAN,ADRESE_2000,1
375,ADRESE_2000,PAUL HARTMANN SRL,BUCURESTI,Sector 2,Hajos Ladislau,,,,,,"B-DUL DIMITRIE POMPEI, NR. 9-9A, BL. 19, P, IRIDE BUSINESS PARK",PAUL HARTMANN,ADRESE_2000,1
376,ADRESE_2000,PAYPOINT SERVICES SRL,BUCURESTI,Sector 1,Dogariu Mugurel,,,,,,"P-TA. CHARLES DE GAULLE, NR 15, ET. 8",PAYPOINT SERVICES,ADRESE_2000,1
377,ADRESE_2000,PAYU ROMANIA,BUCURESTI,Sector 5,Elena Gheorghe,,,,,,"STR. DR. NICULAE D. STAICOVICI, NR. 2",PAYU ROMANIA,ADRESE_2000,1
378,ADRESE_2000,PAZO GRUP,BUCURESTI,Sector 1,,,,,,,STR. PARIS NR 9,PAZO GRUP,ADRESE_2000,1
379,ADRESE_2000,PC MANAGEMENT & CONSULTING,BUCURESTI,Sector 1,Cristian Pascu,,,,,,"SOS. BUCURESTI-PLOIESTI, NR. 15, ET. 1,",PC MANAGEMENT CONSULTING,ADRESE_2000,1
380,ADRESE_2000,PEEK & CLOPPENBURG SRL,BUCURESTI,Sector 1,Paul Portner,,,,,,"CALEA FLOREASCA, NR. 246 B, PARTER SI ET. 1, PROMENADA SHOPPING CENTER",PEEK CLOPPENBURG,ADRESE_2000,1
381,ADRESE_2000,PEGASUS ENGINEERING SRL,BUCURESTI,Sector 2,Bogdan Stancu,,,,,,"STR. BARBU MUMULEANU, NR. 48, CAM. 2",PEGASUS ENGINEERING,ADRESE_2000,1
382,ADRESE_2000,PELI & PARTNERS,BUCURESTI,Sector 1,Francisc Peli,,,,,,"STR. AV. MIRCEA ZORILEANU, NR. 71",PELI PARTNERS,ADRESE_2000,1
383,ADRESE_2000,PEPCO RETAIL SRL,BUCURESTI,Sector 1,Anca Radu,,,,,,"STR. CEASORNICULUI, NR. 17, ET. 3",PEPCO RETAIL,ADRESE_2000,1
384,ADRESE_2000,PERFECT CARE DISTRIBUTION SRL,BUCURESTI,Sector 3,Mihnea Mihalache,,,,,,"STR.LT. NICOLAE PASCU, NR 4, BL, R2, SC, A, AP. 24",PERFECT CARE DISTRIBUTION,ADRESE_2000,1
385,ADRESE_2000,PERNOD RICARD,BUCURESTI,Sector 3,Gen. Tudor Furir,,,,,,"B-DUL CORNELIU COPOSU, NR. 6-8",PERNOD RICARD,ADRESE_2000,1
386,ADRESE_2000,PFIZER ROMANIA SRL,BUCURESTI,Sector 1,Mirela Iordan,,,,,,"SOS. BUC-PLOIESTI, NR. 172-176, ET. 5, BL. B",PFIZER ROMANIA,ADRESE_2000,1
387,ADRESE_2000,PHILIPS ROMANIA,BUCURESTI,Sector 2,,,,,,,"SOSEAUA PIPERA, NR. 46D-56E-48, ETAJ 2, CLADIREA OREGON C",PHILIPS ROMANIA,ADRESE_2000,1
388,ADRESE_2000,PHM COMSERV,BUCURESTI,Sectorul 4,Eduard Georgescu,,,,,,"SOS. BERCENI, NR 8, CORP C 11",PHM COMSERV,ADRESE_2000,1
389,ADRESE_2000,PIGNA ROMANIA,BUCURESTI,Sector 6,,,,,,,"B-DUL TIMISOARA, NR. 84",PIGNA ROMANIA,ADRESE_2000,1
390,ADRESE_2000,PINUM DOORS & WINDOWS SRL,BUCURESTI,Sector 2,Francesco Curcio,,,,,,"SOSEAUA PIPERA, NR. 48, ET. 2",PINUM DOORS WINDOWS,ADRESE_2000,1
391,ADRESE_2000,PLANA INNOVA,BUCURESTI,Sector 1,,,,,,,"STR ION OTELESTEANU, NR 3A",PLANA INNOVA,ADRESE_2000,1
392,ADRESE_2000,PLENERG SRL,BUCURESTI,Sector 3,Athanasios Efthymiopoulos,,,,,,"STR. LIVIU REBREANU, NR. 4, ET. 2",PLENERG,ADRESE_2000,1
393,ADRESE_2000,POLICOLOR,BUCURESTI,Sector 6,Cornelia Mioara Oancea,,,,,,"B-DUL TIMISOARA, NR. 98",POLICOLOR,ADRESE_2000,1
394,ADRESE_2000,POPP & ASOCIATII INGINERIE GEOTEHNICA,BUCURESTI,Sector 1,Dragos Andrei - Marcu,,,,,,"CALEA GRIVITEI, NR. 136, CORP B",POPP ASOCIATII INGINERIE GEOTEHNICA,ADRESE_2000,1
395,ADRESE_2000,PORR BAU GMBH,BUCURESTI,Sector 2,Cojocaru Ana Maria,,,,,,"STR. DIMITRIE POMPEIU NR. 5-7, ET. 3, CAM. A.3.28",PORR BAU GMBH,ADRESE_2000,1
396,ADRESE_2000,PORR CONSTRUCT SRL,BUCURESTI,Sector 2,Vladimir Spirescu,,,,,,"STR. DIMITRIE POMPEIU NR. 5-7, ET. 3, SP. A",PORR CONSTRUCT,ADRESE_2000,1
397,ADRESE_2000,PORTER NOVELLI,BUCURESTI,Sector 1,Mihai Sorina,,,,,,"STR. PRAGA NR. 3, ET. 1",PORTER NOVELLI,ADRESE_2000,1
398,grecia,PPC ADVANCED ENERGY SERVICES ROMANIA SRL,BUCURESTI,Sectorul 3,Georgios Karakousis,contactexro@enel.com,enelxromania@enel.com,,,35005190,"BDUL. MIRCEA VODA, NR. 30",PPC ADVANCED ENERGY SERVICES ROMANIA,grecia,1
399,grecia,PPC ENERGIE MUNTENIA SA,BUCURESTI,Sectorul 3,Popa Virgil,contactee.ro@enel.com,receptie.buc.a@enel.com,,,16460650,"BDUL. MIRCEA VODA, NR. 30",PPC ENERGIE MUNTENIA,grecia,1
400,grecia,PPC ENERGIE SA,BUCURESTI,Sectorul 3,Metes Calin Adrian,contacteem.ro@enel.com,info.ro@enel.com,,,14892570,"BDUL. MIRCEA VODA, NR. 30",PPC ENERGIE,grecia,1
401,grecia,PPC RENEWABLES ROMANIA SRL,BUCURESTI,Sectorul 3,Konstantinos Mavros,egpr-em.ro@enel.com,presa.ro@enel.com,,,18320910,"BDUL. MIRCEA VODA, NR. 30",PPC RENEWABLES ROMANIA,grecia,1
402,ADRESE_2000,PPG ROMANIA,BUCURESTI,Sector 3,Gabriel Valentin Enache,,,,,,"STR. CATANOAIA, NR. 33",PPG ROMANIA,ADRESE_2000,1
403,ADRESE_2000,PREMIUM LUBRICANTS SA,BUCURESTI,Sector 1,Valentin Ionescu,,,,,,"CALEA FLOREASCA, NR. 169 A, CLADIRE A, ET. 7",PREMIUM LUBRICANTS,ADRESE_2000,1
404,ADRESE_2000,PREMIUM PORC GROUP,BUCURESTI,Sector 2,Claudiu Sergiu Mititelu,,,,,,"B-DUL DIMITRIE POMPEIU, NR. 5-7, CALDIRE C, ET. 1, HERMES BUSINESS CAMPUS",PREMIUM PORC GROUP,ADRESE_2000,1
405,ADRESE_2000,PRIAEVENTS,BUCURESTI,Sector 3,Raluca Voivozeanu,,,,,,"STR DANIEL BARCIANU, NR 14A",PRIAEVENTS,ADRESE_2000,1
406,ADRESE_2000,PRIMAVERA DEVELOPMENT,BUCURESTI,Sector 1,,,,,,,"STR SIRIULUI, NR 22-26, ET 6, CSDA SIRIULUI",PRIMAVERA DEVELOPMENT,ADRESE_2000,1
407,ADRESE_2000,PRIME INSOLV PRACTICE SPRL,BUCURESTI,Sector 1,Manolache-Onofrei Tatiana,,,,,,"B-DUL AVIATORILOR, NR.52, PARTER, AP. 1-2",PRIME INSOLV PRACTICE SPRL,ADRESE_2000,1
408,grecia,PRIMO PROD SRL,BUCURESTI,Sectorul 4,Trifu Monica Madalina,primoprod@gmail.com,,,,887430,"STR. ODEI, NR. 70B",PRIMO PROD,grecia,1
409,ADRESE_2000,PRIMUS AUTO SRL,BUCURESTI,Sector 1,Lavinia-Ana-Maria Spandonide,,,,,,"SOS. BUCURESTI-PLOIESTI, NR. 165-169",PRIMUS AUTO,ADRESE_2000,1
410,ADRESE_2000,PRINT GROUP SERV SRL,BUCURESTI,Sector 2,Irina Iacob,,,,,,"STR. BAICULUI, NR. 82, CLADIREA ELECTROINDUSTRIAL, ETAJ 3",PRINT GROUP SERV,ADRESE_2000,1
411,ADRESE_2000,PRISUM INTERNATIONAL TRADING CO SRL,BUCURESTI,Sector 6,Carmen Diana Ivan,,,,,,"CALEA PLEVNEI, NR. 146",PRISUM INTERNATIONAL TRADING CO,ADRESE_2000,1
412,ADRESE_2000,PRO MANAGEMENT INSOLV I.P.U.R.L,BUCURESTI,Sector 3,Irina Marin,,,,,,"B-DUL O. GOGA, NR. 23, BL. M 106, SC. 3, AP. 72",PRO MANAGEMENT INSOLV I P U R L,ADRESE_2000,1
413,ADRESE_2000,PROBSTDORFER SAATZUCHT ROMANIA SRL,BUCURESTI,Sector 1,Berca Mihai,,,,,,"STR. SIRIULUI, NR. 20, CORP B, ET. 1",PROBSTDORFER SAATZUCHT ROMANIA,ADRESE_2000,1
414,ADRESE_2000,PROCEMA IMOB SRL,BUCURESTI,Sector 1,Creteanu Simona Marilena,,,,,,"CALEA GRIVITEI, NR. 136",PROCEMA IMOB,ADRESE_2000,1
415,ADRESE_2000,PROCESS SOLUTIONS,BUCURESTI,Sector 1,Gabor Ferenc,,,,,,"STR POLONA, NR 68-72, POLONA 68 BUSINESS CENTER",PROCESS SOLUTIONS,ADRESE_2000,1
416,ADRESE_2000,PROCREDIT BANK,BUCURESTI,Sector 1,Rainer Peter Ottenstein,,,,,,"STR. BUZESTI, NR. 62-64",PROCREDIT BANK,ADRESE_2000,1
417,ADRESE_2000,PROCTER & GAMBLE DISTRIBUTION SRL,BUCURESTI,Sector 2,Antoine Brun,,,,,,"B-DUL DIMITRIE POMPEIU, NR. 9-9A, BL. CLADIREA2A",PROCTER GAMBLE DISTRIBUTION,ADRESE_2000,1
418,ADRESE_2000,PRODAM CO,BUCURESTI,Sector 6,Ion Panait,,,,,,"B-DUL IULIU MANIU, NR. 71",PRODAM CO,ADRESE_2000,1
419,grecia,PROFILCO RO SRL,BUCURESTI,Sectorul 6,Athanasopoulos Dimitrios,office@profilco-romania.ro,timisoara@profilco-romania.ro,,,18030870,"BDUL. PRECIZIEI, NR. 30",PROFILCO RO,grecia,1
420,ADRESE_2000,PROGRAPHIC ARHITECTURE STUDIO,BUCURESTI,Sector 1,Stefan Alberto Bianco,,,,,,"CALEA FLOREASCA NR. 141-143, ETAJ 2",PROGRAPHIC ARHITECTURE STUDIO,ADRESE_2000,1
421,ADRESE_2000,PROMPT SERVICE TOTAL,BUCURESTI,Sector 2,,,,,,,"STR CLAUDIU, NR 22, AP 1",PROMPT SERVICE TOTAL,ADRESE_2000,1
422,ADRESE_2000,PROPAGANDA CREATIVE SERVICES,BUCURESTI,Sector 2,Tuluca Adrian,,,,,,"STR. CAIMATEI, NR. 10, CORP A, MANSARDA, AP. 34",PROPAGANDA CREATIVE SERVICES,ADRESE_2000,1
423,ADRESE_2000,PROPAGANDA MARKETING RESOURCE,BUCURESTI,Sector 2,Nicolae Adrian Tuluca,,,,,,"STR. CAIMATEI, NR. 10, CORP A, ET. 1, AP. 18",PROPAGANDA MARKETING RESOURCE,ADRESE_2000,1
424,ADRESE_2000,PROPERTY PARTNERS REAL ESTATE SERVICES,BUCURESTI,Sector 1,Christopher Shonn,,,,,,"STR. CRINULUI, NR. 20-24",PROPERTY PARTNERS REAL ESTATE SERVICES,ADRESE_2000,1
425,ADRESE_2000,PROVIDENT FINANCIAL ROMANIA,BUCURESTI,Sector 4,Irina Baetelu,,,,,,"STR. SERBAN VODA, NR. 133, CORP A, ET. 1",PROVIDENT FINANCIAL ROMANIA,ADRESE_2000,1
426,ADRESE_2000,PRUTUL SA,BUCURESTI,Sector 1,Marian Andreev,,,,,,"STR. TEHERAN, NR. 2, ET. 6",PRUTUL,ADRESE_2000,1
427,ADRESE_2000,PUBLICIS GROUPE MEDIA BUCHAREST,BUCURESTI,Sector 1,Stefan Iordache,,,,,,"STR. NICOLAE IORGA, NR. 13, ET. 1, CORP A",PUBLICIS GROUPE MEDIA BUCHAREST,ADRESE_2000,1
428,ADRESE_2000,PUBLICIS ROMANIA,BUCURESTI,Sector 1,Teddy Teodorescu,,,,,,"STR. NICOLAE IORGA, NR. 13, CORP A, ET. 1",PUBLICIS ROMANIA,ADRESE_2000,1
429,ADRESE_2000,PULS MEDICA SA,BUCURESTI,Sector 2,Adina Luca,,,,,,"INTRAREA SPATARULUI, NR. 3, AP. 10",PULS MEDICA,ADRESE_2000,1
430,ADRESE_2000,PWC ROMANIA,BUCURESTI,Sector 1,Diana Coroaba,,,,,,"BULEVARDUL POLIGRAFIEI, NR. 1A",PWC ROMANIA,ADRESE_2000,1
431,ADRESE_2000,PZP ARHITECTURA,BUCURESTI,Sector 1,,,,,,,"STR. ION BREZOIANU, NR.23-25, CLADIREA B, ET. 3",PZP ARHITECTURA,ADRESE_2000,1
432,ADRESE_2000,Q MAX BUSINESS CONSULTING SRL,BUCURESTI,Sector 1,,,,,,,"STR GRIGORE MORA, NR 6",Q MAX BUSINESS CONSULTING,ADRESE_2000,1
433,ADRESE_2000,QUADRA ESTATE,BUCURESTI,Sector 3,,,,,,,"STR ALEXANDRU SIHLEANU, NR 12",QUADRA ESTATE,ADRESE_2000,1
434,ADRESE_2000,QUADRANT AMROQ BEVERAGES SR QUADRANT,BUCURESTI,Sector 4,Dragusin Daniel,,,,,,"CALEA VACARESTI, NR. 391, ET. 4, SECT. 1",QUADRANT AMROQ BEVERAGES SR QUADRANT,ADRESE_2000,1
435,ADRESE_2000,QUALITY CROPS AGRO SRL,BUCURESTI,Sector 1,Coronado Manuel Jorge,,,,,,"STR. JEAN MONNET, NR. 37-39, ET. 1, AP. 4",QUALITY CROPS AGRO,ADRESE_2000,1
436,ADRESE_2000,QUARSIS CONSULTING SRL,BUCURESTI,Sector 4,Marius Antonesi,,,,,,"STR BALTITA, NR. 7, Bl. B34, SC. 3, AP. 36",QUARSIS CONSULTING,ADRESE_2000,1
437,ADRESE_2000,RABBIT MEDIA SRL,BUCURESTI,Sector 4,Nicoleta Galatanu,,,,,,"STR ALUNISULUI, NR. 37",RABBIT MEDIA,ADRESE_2000,1
438,ADRESE_2000,RADACINI MOTORS SRL,BUCURESTI,Sector 6,Madadi Ali,,,,,,"B-DUL TIMISOARA, NR. 18",RADACINI MOTORS,ADRESE_2000,1
439,ADRESE_2000,RADCOM SA,BUCURESTI,Sector 2,Benescu Dragos,,,,,,"STR. GEORGE CONSTANTINESCU, NR. 2 C, ET. 5-6",RADCOM,ADRESE_2000,1
440,ADRESE_2000,RAIFFEISEN BROKER ASIGURARE,BUCURESTI,Sector 1,Angelina Enache,,,,,,"CALEA FLOREASCA, NR. 246 D, ET. 6, ZONA C",RAIFFEISEN BROKER ASIGURARE,ADRESE_2000,2
441,ADRESE_2000,RAN EVENTS,BUCURESTI,Sector 1,,,,,,,"MIHAI EMINESCU NR 90, ETAJ 4",RAN EVENTS,ADRESE_2000,2
442,ADRESE_2000,RANDSTAD STAFFING SRL,BUCURESTI,Sector 2,,,,,,,BULEVARDUL DACIA NR 153-155,RANDSTAD STAFFING,ADRESE_2000,2
443,ADRESE_2000,RASCI,BUCURESTI,Sector 1,Diana Mereu,,,,,,"STR. NICOLAE IORGA, NR. 5, ET.2, AP. 4",RASCI,ADRESE_2000,2
444,ADRESE_2000,RASIROM,BUCURESTI,Sector 2,Laurentiu Trocan,,,,,,STR. PINUL ALB NR. 3,RASIROM,ADRESE_2000,2
445,ADRESE_2000,RCS & RDS SA,BUCURESTI,Sector 5,Serghei Bulgac,,,,,,"STR. STAICOVICI, NR. 75, ET. 2, FORUM 2000 BUILDING",RCS RDS,ADRESE_2000,1
446,ADRESE_2000,REAL - SOL,BUCURESTI,Sector 1,Shimon Galon,,,,,,"SOS. BUCURESTI-PLOIESTI, NR. 172-176,, CLADIREA. A, ET. 1",REAL SOL,ADRESE_2000,1
447,ADRESE_2000,REC IMMPULS SRL,BUCURESTI,Sector 1,Alexandru Tudor Popp,,,,,,"CALEA GRIVITEI, NR. 82-98, ET. 1, BIR. E1.27, CORP PODIUM",REC IMMPULS,ADRESE_2000,1
448,ADRESE_2000,RECKITT BENCKISER SRL,BUCURESTI,Sector 1,Tisaianu Roxana,,,,,,"B-DUL IANCU DE HUNEDOARA, NR. 48, ET. 11, CRISTAL TOWER",RECKITT BENCKISER,ADRESE_2000,1
449,ADRESE_2000,RECORDATI ROMANIA SRL,BUCURESTI,Sector 5,Franciszek Witold Urban,,,,,,"STR. IZVOR, NR 92-96, ETAJ 4",RECORDATI ROMANIA,ADRESE_2000,1
450,ADRESE_2000,REFF & PARTNERS,BUCURESTI,Sector 1,Alexandru Reff,,,,,,"CALEA GRIVITEI, NR. 82-98, ET. 14,, MARK TOWER",REFF PARTNERS,ADRESE_2000,1
451,ADRESE_2000,REGINA MARIA (CENTRU MEDICAL UNIREA),BUCURESTI,Sector 1,Hadi Rahimian,,,,,,"B-DUL ION IONESCU DE LA BRAD, NR. 58 B",REGINA MARIA CENTRU MEDICAL UNIREA,ADRESE_2000,1
452,grecia,RETELE ELECTRICE MUNTENIA SA,BUCURESTI,Sectorul 3,Apostu Andreea,reclamatii.muntenia@e-distributie.com,alina-florentina.leonte@e-distributie.com,,,2134250,"BDUL. MIRCEA VODA, NR. 30",RETELE ELECTRICE MUNTENIA,grecia,1
453,ADRESE_2000,ROADHILL AUTOMOTIVE SRL,BUCURESTI,Sector 3,Dan Albert Goldner,,,,,,"STR. VICTOR BRAUNER, NR. 40 K",ROADHILL AUTOMOTIVE,ADRESE_2000,1
454,ADRESE_2000,ROBERT BOSCH SRL,BUCURESTI,Sector 1,Boldijar Mihai,,,,,,"STR. HORIA MACELARIU, NR. 30-34",ROBERT BOSCH,ADRESE_2000,1
455,ADRESE_2000,ROCA INVESTMENTS,BUCURESTI,,Rudolf Vizental,,,,,,"STRADA GARA HERASTRAU, NR. 4, ET. 3, CLADIREA A",ROCA INVESTMENTS,ADRESE_2000,1
456,ADRESE_2000,ROCHE ROMANIA SRL,BUCURESTI,Sector 1,Nora Galli (Country Manager),,,,,,"B-DUL POLIGRAFIEI, NR. 1 A, ET. 15",ROCHE ROMANIA,ADRESE_2000,2
457,ADRESE_2000,ROCK STAR CONSTRUCT SRL,BUCURESTI,Sector 1,Mariana Bradescu,,,,,,"ALEEA TEISANI, NR. 137 A",ROCK STAR CONSTRUCT,ADRESE_2000,1
458,ADRESE_2000,ROCKWOOL ROMANIA SRL,BUCURESTI,Sector 1,Popescu Florin,,,,,,"SOS. BUCURESTI-PLOIESTI, NR 1A, ETAJ 1",ROCKWOOL ROMANIA,ADRESE_2000,1
459,ADRESE_2000,RODBUN GRUP SA,BUCURESTI,Sector 6,Iancu Alexandru Luchian,,,,,,"B-DUL TIMISOARA, NR. 26, ET. 1, PLAZA ROMANIA OFFICES",RODBUN GRUP,ADRESE_2000,1
460,ADRESE_2000,ROFMA,BUCURESTI,Sector 1,Cristian Vasiliu,,,,,,"BULEVARDUL LASCAR CATARGIU, NR. 47-53, EUROPE HOUSE, ET 2",ROFMA,ADRESE_2000,1
461,ADRESE_2000,ROGALSKI DAMASCHIN PUBLIC RELATIONS,BUCURESTI,Sector 1,Mihnea Pana,,,,,,"B-DUL MARESAL AVERESCU, NR. 15 B/C, ET 2",ROGALSKI DAMASCHIN PUBLIC RELATIONS,ADRESE_2000,1
462,ADRESE_2000,ROHDE & SCHWARZ TOPEX SA,BUCURESTI,Sector 2,Gabriel Ionescu,,,,,,"STR. B-DUL DIMITRIE POMPEIU, NR. 9-9A, PARTER, IRIDE BUSINESS PARK",ROHDE SCHWARZ TOPEX,ADRESE_2000,1
463,ADRESE_2000,ROM ENERGY ARMSTRONG,BUCURESTI,Sector 1,Ionita Dan,,,,,,"STR. BARAJUL ARGES, NR. 41, ET. P, AP. 3C",ROM ENERGY ARMSTRONG,ADRESE_2000,1
464,ADRESE_2000,ROMANIA GREEN BUILDING COUNCIL,BUCURESTI,Sector 1,Andrei Botis,,,,,,"STR ARGENTINA, NR. 43",ROMANIA GREEN BUILDING COUNCIL,ADRESE_2000,1
465,ADRESE_2000,ROMANIA SOTHEBY S INTERNATIONAL,BUCURESTI,Sector 1,Monica Barbu,,,,,,"STR. C. A. ROSETTI, NR. 5, CORP A, CAM. 42-47",ROMANIA SOTHEBY S INTERNATIONAL,ADRESE_2000,1
466,ADRESE_2000,ROMASTRU TRADING SRL,BUCURESTI,Sector 1,Ionita Cristian Bota,,,,,,"STR. BIHARIA, NR. 67-77, ET. 2, CLADIREA D, METAV BUSINESS PARK",ROMASTRU TRADING,ADRESE_2000,1
467,ADRESE_2000,ROMCONSULTING INTERNATIONAL SRL,BUCURESTI,Sector 1,Manailescu Amelia,,,,,,"STR. GHETARILOR, NR. 15, ET. 5",ROMCONSULTING INTERNATIONAL,ADRESE_2000,1
468,ADRESE_2000,ROMEPS,BUCURESTI,Sector 6,Mihail-Catalin Stefan,,,,,,"STR IULIU MANIU, NR 598",ROMEPS,ADRESE_2000,1
469,ADRESE_2000,ROMINSOLV SPRL,BUCURESTI,Sector 3,Gheorghe Pipera,,,,,,"SPLAIUL UNIRII, NR. 223, ETAJ 4",ROMINSOLV SPRL,ADRESE_2000,1
470,ADRESE_2000,ROMKATEL,BUCURESTI,Sector 5,Wolfgang Jochen Christia Vogt,,,,,,"STR IZVOR, NR 92-96, CLADIREA FORUM III, ET 4",ROMKATEL,ADRESE_2000,1
471,ADRESE_2000,ROMPETROL DOWNSTREAM,BUCURESTI,Sector 1,Arlan Shabdarbayev,,,,,,"P-TA PRESEI LIBERE, NR. 3-5, ET. 2, CITY GATE NORTHERN TOWER",ROMPETROL DOWNSTREAM,ADRESE_2000,1
472,ADRESE_2000,ROMPREST ENERGY SRL,BUCURESTI,Sector 1,Cristinel Nicolae Marinescu,,,,,,"B-DUL POLIGRAFIEI, NR. 1C, ET. 2, BIR. 10",ROMPREST ENERGY,ADRESE_2000,1
473,ADRESE_2000,ROMSTAL IMEX SRL,BUCURESTI,Sector 4,Mihail Alexandru Petrescu,,,,,,"SOS. VITAN BIRZESTI, NR. 11 A",ROMSTAL IMEX,ADRESE_2000,1
474,ADRESE_2000,ROMTEHNICA,BUCURESTI,Sector 6,Director General Nicolae Nasta,,,,,,BULEVARDUL TIMISOARA NR. 5C,ROMTEHNICA,ADRESE_2000,1
475,ADRESE_2000,ROSIA MONTANA GOLD CORPORATION,BUCURESTI,Sector 1,Dragos Tanase,,,,,,"STR. HERASTRAU, NR.17",ROSIA MONTANA GOLD CORPORATION,ADRESE_2000,1
476,ADRESE_2000,ROTARY CONSTRUCTII,BUCURESTI,Sector 3,Mihai Leonard Rotaru,,,,,,STR. LUCIAN BLAGA NR. 4,ROTARY CONSTRUCTII,ADRESE_2000,1
